CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax
1,GrapeCity,Roger,President,New Town 1-21-22,New York,,902-0071,USA,(0988)55-8711,(0988)55-8712
2,GrapeSeed,Carl,President,New Jersey 1-22-2324,New York,,902-0071,USA,(0934)55-8566,(0988)55-8734
3,Componenet One,Matt,Director,Doris Street 1-43-23,Denver,,231-1231,USA,(0911)52-3233,(0911)52-3236
4,Sol Pvt Ltd,Barney,Secretary,Edgar Building 1-12-12,Austin,,112-1234,USA,(0992)52-8722,(0992)52-8721
5,Jame Fruits LTD,Kim,Director,S4 Flats 1-21-23,New York,,902-0071,USA,(0999)51-1711,(0999)51-1711
6,Novel Electronics,Jared,President,Carls Buidling 1-21-00,New York,,902-0071,USA,(0911)25-8721,(0911)25-8721
7,Javier Brewery,Rodrick,Sales Head,A-6 Bee Palace,Chicago,,911-171,USA,(0218)22-2123,(0218)22-2121
8,King Castle Foods,Bella,President,N/8 Kat Buidling,California,,912-2233,USA,(0911)55-2341,(0911)55-2342
9,North Traders,Matthew,Vice President,New Davy Bridge Hall,New York,,902-0071,USA,(0922)11-8722,(0922)11-8720
10,Aldwin Chemicals,Edwin,CEO,New Town 1-21-22,New York,,902-0071,USA,(0988)51-8729,(0988)55-8728
