ShipName;ShipAddress;ShipCity;ShipRegion;ShipPostalCode;ShipCountry;CustomerID;CustomerName;Address;City;Region;PostalCode;Country;Salesperson;OrderID;OrderDate;RequiredDate;ShippedDate;ShipperName;ProductID;ProductName;UnitPrice;Quantity;Discount;ExtendedPrice;Freight
Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;France;VINET;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;France;Steven Buchanan;10248;7/4/1996;8/1/1996;7/16/1996;Federal Shipping;11;Queso Cabrales;14;12;0;168;32.38
Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;France;VINET;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;France;Steven Buchanan;10248;7/4/1996;8/1/1996;7/16/1996;Federal Shipping;42;Singaporean Hokkien Fried Mee;9.8;10;0;98;32.38
Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;France;VINET;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;France;Steven Buchanan;10248;7/4/1996;8/1/1996;7/16/1996;Federal Shipping;72;Mozzarella di Giovanni;34.8;5;0;174;32.38
Toms Spezialit�ten;Luisenstr. 48;M�nster;;44087;Germany;TOMSP;Toms Spezialit�ten;Luisenstr. 48;M�nster;;44087;Germany;Michael Suyama;10249;7/5/1996;8/16/1996;7/10/1996;Speedy Express;14;Tofu;18.6;9;0;167.4;11.61
Toms Spezialit�ten;Luisenstr. 48;M�nster;;44087;Germany;TOMSP;Toms Spezialit�ten;Luisenstr. 48;M�nster;;44087;Germany;Michael Suyama;10249;7/5/1996;8/16/1996;7/10/1996;Speedy Express;51;Manjimup Dried Apples;42.4;40;0;1696;11.61
Hanari Carnes;"Rua do Pa�o, 67";Rio de Janeiro;RJ;05454-876;Brazil;HANAR;Hanari Carnes;"Rua do Pa�o, 67";Rio de Janeiro;RJ;05454-876;Brazil;Margaret Peacock;10250;7/8/1996;8/5/1996;7/12/1996;United Package;41;Jack's New England Clam Chowder;7.7;10;0;77;65.83
Hanari Carnes;"Rua do Pa�o, 67";Rio de Janeiro;RJ;05454-876;Brazil;HANAR;Hanari Carnes;"Rua do Pa�o, 67";Rio de Janeiro;RJ;05454-876;Brazil;Margaret Peacock;10250;7/8/1996;8/5/1996;7/12/1996;United Package;51;Manjimup Dried Apples;42.4;35;0.15000001;1261.4;65.83
Hanari Carnes;"Rua do Pa�o, 67";Rio de Janeiro;RJ;05454-876;Brazil;HANAR;Hanari Carnes;"Rua do Pa�o, 67";Rio de Janeiro;RJ;05454-876;Brazil;Margaret Peacock;10250;7/8/1996;8/5/1996;7/12/1996;United Package;65;Louisiana Fiery Hot Pepper Sauce;16.8;15;0.15000001;214.2;65.83
Victuailles en stock;"2, rue du Commerce";Lyon;;69004;France;VICTE;Victuailles en stock;"2, rue du Commerce";Lyon;;69004;France;Janet Leverling;10251;7/8/1996;8/5/1996;7/15/1996;Speedy Express;22;Gustaf's Kn�ckebr�d;16.8;6;5.00E-02;95.76;41.34
Victuailles en stock;"2, rue du Commerce";Lyon;;69004;France;VICTE;Victuailles en stock;"2, rue du Commerce";Lyon;;69004;France;Janet Leverling;10251;7/8/1996;8/5/1996;7/15/1996;Speedy Express;57;Ravioli Angelo;15.6;15;5.00E-02;222.3;41.34
Victuailles en stock;"2, rue du Commerce";Lyon;;69004;France;VICTE;Victuailles en stock;"2, rue du Commerce";Lyon;;69004;France;Janet Leverling;10251;7/8/1996;8/5/1996;7/15/1996;Speedy Express;65;Louisiana Fiery Hot Pepper Sauce;16.8;20;0;336;41.34
Supr�mes d�lices;"Boulevard Tirou, 255";Charleroi;;B-6000;Belgium;SUPRD;Supr�mes d�lices;"Boulevard Tirou, 255";Charleroi;;B-6000;Belgium;Margaret Peacock;10252;7/9/1996;8/6/1996;7/11/1996;United Package;20;Sir Rodney's Marmalade;64.8;40;5.00E-02;2462.4;51.3
Supr�mes d�lices;"Boulevard Tirou, 255";Charleroi;;B-6000;Belgium;SUPRD;Supr�mes d�lices;"Boulevard Tirou, 255";Charleroi;;B-6000;Belgium;Margaret Peacock;10252;7/9/1996;8/6/1996;7/11/1996;United Package;33;Geitost;2;25;5.00E-02;47.5;51.3
Supr�mes d�lices;"Boulevard Tirou, 255";Charleroi;;B-6000;Belgium;SUPRD;Supr�mes d�lices;"Boulevard Tirou, 255";Charleroi;;B-6000;Belgium;Margaret Peacock;10252;7/9/1996;8/6/1996;7/11/1996;United Package;60;Camembert Pierrot;27.2;40;0;1088;51.3
Hanari Carnes;"Rua do Pa�o, 67";Rio de Janeiro;RJ;05454-876;Brazil;HANAR;Hanari Carnes;"Rua do Pa�o, 67";Rio de Janeiro;RJ;05454-876;Brazil;Janet Leverling;10253;7/10/1996;7/24/1996;7/16/1996;United Package;31;Gorgonzola Telino;10;20;0;200;58.17
Hanari Carnes;"Rua do Pa�o, 67";Rio de Janeiro;RJ;05454-876;Brazil;HANAR;Hanari Carnes;"Rua do Pa�o, 67";Rio de Janeiro;RJ;05454-876;Brazil;Janet Leverling;10253;7/10/1996;7/24/1996;7/16/1996;United Package;39;Chartreuse verte;14.4;42;0;604.8;58.17
Hanari Carnes;"Rua do Pa�o, 67";Rio de Janeiro;RJ;05454-876;Brazil;HANAR;Hanari Carnes;"Rua do Pa�o, 67";Rio de Janeiro;RJ;05454-876;Brazil;Janet Leverling;10253;7/10/1996;7/24/1996;7/16/1996;United Package;49;Maxilaku;16;40;0;640;58.17
Chop-suey Chinese;Hauptstr. 31;Bern;;3012;Switzerland;CHOPS;Chop-suey Chinese;Hauptstr. 29;Bern;;3012;Switzerland;Steven Buchanan;10254;7/11/1996;8/8/1996;7/23/1996;United Package;24;Guaran� Fant�stica;3.6;15;0.15000001;45.9;22.98
Chop-suey Chinese;Hauptstr. 31;Bern;;3012;Switzerland;CHOPS;Chop-suey Chinese;Hauptstr. 29;Bern;;3012;Switzerland;Steven Buchanan;10254;7/11/1996;8/8/1996;7/23/1996;United Package;55;P�t� chinois;19.2;21;0.15000001;342.72;22.98
Chop-suey Chinese;Hauptstr. 31;Bern;;3012;Switzerland;CHOPS;Chop-suey Chinese;Hauptstr. 29;Bern;;3012;Switzerland;Steven Buchanan;10254;7/11/1996;8/8/1996;7/23/1996;United Package;74;Longlife Tofu;8;21;0;168;22.98
Richter Supermarkt;Starenweg 5;Gen�ve;;1204;Switzerland;RICSU;Richter Supermarkt;Grenzacherweg 237;Gen�ve;;1203;Switzerland;Anne Dodsworth;10255;7/12/1996;8/9/1996;7/15/1996;Federal Shipping;2;Chang;15.2;20;0;304;148.33
Richter Supermarkt;Starenweg 5;Gen�ve;;1204;Switzerland;RICSU;Richter Supermarkt;Grenzacherweg 237;Gen�ve;;1203;Switzerland;Anne Dodsworth;10255;7/12/1996;8/9/1996;7/15/1996;Federal Shipping;16;Pavlova;13.9;35;0;486.5;148.33
Richter Supermarkt;Starenweg 5;Gen�ve;;1204;Switzerland;RICSU;Richter Supermarkt;Grenzacherweg 237;Gen�ve;;1203;Switzerland;Anne Dodsworth;10255;7/12/1996;8/9/1996;7/15/1996;Federal Shipping;36;Inlagd Sill;15.2;25;0;380;148.33
